file_id,id,time,jd,mjd,ra_hours,dec_degs,x,y,telescope,filter,exp_length,mag,mag_error,zero_point,flux,flux_error,pm_sky,pm_epoch,pm_pos_angle_sky,zero_point_correction,zero_point_error,calibrated_zero_point,calibrated_mag
2308734,SRC292,2026-04-16 20:27:33.000,2461147.5191319445,61147.019131944515,13.432029698637193,-43.034677719922016,15.168185170311062,588.9488660669705,Prompt5,B,50,16.138160730762294,,20,1752.6924344925976,0,0,2026-04-11 20:22:04.000,0,1.1474792352683736,0.011602029827962568,21.147479235268374,17.28563996603067
2308734,SRC293,2026-04-16 20:27:33.000,2461147.5191319445,61147.019131944515,13.428820185381737,-43.0342315719215,222.28438293844624,594.6685695425773,Prompt5,B,50,17.167330030567395,,20,679.2630519933846,0,0,2026-04-11 20:22:04.000,0,1.1474792352683736,0.011602029827962568,21.147479235268374,18.31480926583577
2308734,SRC294,2026-04-16 20:27:33.000,2461147.5191319445,61147.019131944515,13.419531197253267,-43.03001953645422,822.4358948727609,594.7113541089731,Prompt5,B,50,17.0098017864213,,20,785.3247591094512,0,0,2026-04-11 20:22:04.000,0,1.1474792352683736,0.011602029827962568,21.147479235268374,18.157281021689673
2308734,SRC295,2026-04-16 20:27:33.000,2461147.5191319445,61147.019131944515,13.417563785326925,-43.029966777841985,949.3432140100425,599.7856471646173,Prompt5,B,50,18.625651048258128,,20,177.3003467794792,0,0,2026-04-11 20:22:04.000,0,1.1474792352683736,0.011602029827962568,21.147479235268374,19.773130283526502
2308734,SRC296,2026-04-16 20:27:33.000,2461147.5191319445,61147.019131944515,13.418955001056082,-43.031463910138484,859.2396684613999,604.779845900921,Prompt5,B,50,16.375920724326974,,20,1407.9969518346666,0,0,2026-04-11 20:22:04.000,0,1.1474792352683736,0.011602029827962568,21.147479235268374,17.52339995959535
2308734,SRC297,2026-04-16 20:27:33.000,2461147.5191319445,61147.019131944515,13.424560276318033,-43.03488394737953,496.87877501831423,609.7646384765809,Prompt5,B,50,14.20389097455298,0.01071949625981612,20,10409.110394876387,103.2783604279295,0,2026-04-11 20:22:04.000,0,1.1474792352683736,0.011602029827962568,21.147479235268374,15.351370209821354
2308734,SRC298,2026-04-16 20:27:33.000,2461147.5191319445,61147.019131944515,13.43048008608154,-43.0380011135065,114.32905560301975,612.5133762555722,Prompt5,B,50,16.816976513741366,,20,937.9493760668237,0,0,2026-04-11 20:22:04.000,0,1.1474792352683736,0.011602029827962568,21.147479235268374,17.96445574900974
2308734,SRC299,2026-04-16 20:27:33.000,2461147.5191319445,61147.019131944515,13.427595299487306,-43.03762611934572,300.47223007182936,617.8531267112888,Prompt5,B,50,17.483561914868652,,20,507.62761342675526,0,0,2026-04-11 20:22:04.000,0,1.1474792352683736,0.011602029827962568,21.147479235268374,18.631041150137026
2308734,SRC300,2026-04-16 20:27:33.000,2461147.5191319445,61147.019131944515,13.419751399885834,-43.03637672991089,806.6544186982787,631.5060428939864,Prompt5,B,50,16.999378325401793,,20,792.9004679757898,0,0,2026-04-11 20:22:04.000,0,1.1474792352683736,0.011602029827962568,21.147479235268374,18.146857560670167
2308734,SRC301,2026-04-16 20:27:33.000,2461147.5191319445,61147.019131944515,13.42343110004353,-43.03815164055681,568.9066202937374,632.0058662700228,Prompt5,B,50,14.033292541508997,0.008930297512555732,20,12180.159844491622,100.59627029079577,0,2026-04-11 20:22:04.000,0,1.1474792352683736,0.011602029827962568,21.147479235268374,15.180771776777371
